,ID,커피지수,y,x
91,봉화,0.0,8,11
92,상주,0.5,11,8
93,예천,0.0,10,8
94,군위,0.0,11,10
95,울릉,0.0,8,13
96,경산,0.6666666666666666,12,11
97,영천,0.0,12,10
98,의성,0.0,11,11
99,문경,0.25,8,10
100,영덕,0.5,7,11
101,청송,0.0,10,11
102,김천,0.6666666666666666,11,9
103,성주,0.0,13,11
104,청도,0.5,13,10
105,고령,1.0,13,9
106,칠곡,0.2,12,9
107,영양,0.0,9,11
108,광주 광산,0.8,21,2
109,광주 서구,1.3333333333333333,22,2
110,광주 북구,1.1666666666666667,22,3
111,광주 남구,1.8571428571428572,23,2
112,광주 동구,1.25,23,3
113,대구 중구,1.7,14,9
114,대구 달서,1.2352941176470589,16,8
115,대구 수성,2.5,14,10
116,대구 서구,3.0,15,8
117,대구 달성,0.25,16,9
118,대구 동구,0.9,15,10
119,대구 남구,0.6666666666666666,15,9
120,대구 북구,0.42857142857142855,14,8
121,대전 중구,0.5555555555555556,15,5
122,대전 서구,1.173913043478261,16,4
123,대전 유성,0.7058823529411765,15,4
124,대전 대덕,1.5,13,5
125,대전 동구,1.1428571428571428,14,5
126,부산 사상,1.0,18,9
127,부산 동래,0.5,16,11
128,부산 부산진,1.1428571428571428,17,10
129,부산 동구,1.75,18,10
130,부산 수영,1.3333333333333333,20,11
131,부산 강서,0.42857142857142855,18,8
132,부산 영도,0.0,20,10
133,부산 중구,0.9166666666666666,18,11
134,부산 해운대,2.8333333333333335,17,12
135,부산 금정,0.5,16,10
136,부산 연제,0.75,17,11
137,부산 기장,1.4,16,12
138,부산 서구,0.6,19,9
139,부산 사하,0.6923076923076923,19,10
140,부산 남구,0.35714285714285715,19,11
141,부산 북구,0.13333333333333333,17,9
142,서울 강남,3.0961538461538463,8,6
143,서울 금천,1.25,8,5
144,서울 송파,1.2702702702702702,6,8
145,서울 성북,0.7037037037037037,3,6
146,서울 구로,0.5833333333333334,9,4
147,서울 영등포,1.34375,8,4
148,서울 성동,0.6470588235294118,5,7
149,서울 노원,0.5,2,6
150,서울 동작,0.8,6,5
151,서울 광진,1.2222222222222223,6,7
152,서울 중구,2.4827586206896552,5,6
153,서울 강서,0.5208333333333334,6,4
154,서울 서대문,1.875,4,5
155,서울 동대문,0.5454545454545454,4,7
156,서울 서초,3.2,7,6
157,서울 강동,1.263157894736842,5,8
158,서울 관악,0.6,7,5
159,서울 양천,1.1428571428571428,7,4
160,서울 은평,0.5652173913043478,5,4
161,서울 강북,0.5833333333333334,3,5
162,서울 중랑,0.6,4,8
163,서울 종로,2.7777777777777777,4,6
164,서울 마포,1.5714285714285714,5,5
165,서울 도봉,0.2857142857142857,2,5
166,서울 용산,1.8666666666666667,6,6
167,세종,0.625,13,4
168,울산 남구,0.6363636363636364,15,12
169,울산 중구,0.6,15,11
170,울산 울주,0.08333333333333333,14,11
171,울산 북구,0.29411764705882354,13,12
172,울산 동구,0.2222222222222222,14,12
173,인천 미추홀,0.5,9,2
174,인천 계양,0.16666666666666666,7,2
175,인천 부평,0.48148148148148145,8,2
176,인천 연수,0.9523809523809523,10,1
177,인천 서구,0.25806451612903225,6,1
178,인천 강화,0.5,5,1
179,인천 남동,0.3333333333333333,10,2
180,인천 옹진,0.0,10,0
181,인천 중구,0.47058823529411764,9,1
182,인천 동구,1.0,6,2
183,완도,0.0,25,2
184,해남,0.5,23,0
185,여수,0.47368421052631576,23,4
186,영광,0.0,19,1
187,순천,0.2631578947368421,22,4
188,고흥,0.0,22,5
189,보성,0.0,24,3
190,광양,0.2,21,5
191,무안,0.0,21,1
192,목포,0.3333333333333333,22,0
193,담양,0.0,20,2
194,화순,0.0,21,4
195,나주,0.2,22,1
196,신안,0.0,21,0
197,장성,0.0,19,2
198,함평,0.0,20,1
199,구례,0.0,20,4
200,곡성,0.0,21,3
201,강진,0.0,24,1
202,영암,0.0,23,1
203,진도,0.0,24,0
204,장흥,0.0,24,2
205,익산,0.4444444444444444,16,3
206,전주 완산,0.5652173913043478,19,3
207,임실,1.0,19,4
208,전주 덕진,0.3333333333333333,18,3
209,고창,0.0,18,1
210,장수,0.0,17,5
211,진안,0.0,18,4
212,군산,0.4444444444444444,16,2
213,남원,0.0,18,5
214,정읍,0.0,18,2
215,순창,1.0,20,3
216,김제,0.0,17,3
217,부안,0.25,17,2
218,완주,0.0,17,4
219,무주,0.0,16,5
220,제주,1.3,25,5
221,서귀포,0.9230769230769231,26,5
222,홍성,0.0,12,2
223,당진,0.4444444444444444,12,1
224,천안 동남,0.7777777777777778,11,2
225,서산,0.5714285714285714,13,1
226,공주,0.3333333333333333,12,4
227,보령,1.0,13,2
228,아산,0.75,11,1
229,논산,0.5,14,3
230,부여,0.0,14,2
231,계룡,0.0,14,4
232,천안 서북,0.6666666666666666,11,3
233,청양,0.0,13,3
234,태안,0.0,11,0
235,금산,0.0,15,3
236,예산,0.16666666666666666,12,3
237,서천,0.5,15,2
238,음성,1.0,11,5
239,청주 상당,0.6666666666666666,14,6
240,충주,1.0,12,6
241,단양,0.0,11,7
242,영동,0.0,15,7
243,괴산,0.0,12,8
244,옥천,0.0,15,6
245,청주 청원,0.3,13,7
246,청주 서원,0.4444444444444444,14,7
247,청주 흥덕,0.6111111111111112,12,7
248,증평,0.3333333333333333,13,6
249,제천,0.6,10,7
250,보은,0.5,13,8
251,진천,0.25,12,5
