종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
001045,CJ우,"51,200","-400","0.78","51,300","51,200","2,895","148,626,800","51,300","51,600","51,100","5,000",원(KRW),"2,260,223","115,723,417,600",
097950,CJ제일제당,"378,500","1,500","0.40","378,500","378,000","47,019","17,775,277,000","380,500","383,000","373,500","5,000",원(KRW),"15,054,186","5,698,009,401,000",
097955,CJ제일제당 우,"164,000","1,000","0.61","164,000","163,500","5,342","873,590,000","164,500","165,000","162,500","5,000",원(KRW),"1,327,433","217,699,012,000",
000590,CS홀딩스,"57,800","100","0.17","57,800","57,700","1,655","95,906,800","57,500","58,400","57,500","5,000",원(KRW),"1,154,482","66,729,059,600",
012030,DB,"720","0","0.00","721","720","271,295","195,848,859","723","726","719","500",원(KRW),"201,173,933","144,845,231,760",
016610,DB금융투자,"4,740","5","0.11","4,745","4,740","97,446","462,485,460","4,745","4,775","4,725","5,000",원(KRW),"42,446,389","201,195,883,860",
005830,DB손해보험,"44,550","400","0.91","44,600","44,550","119,590","5,328,634,300","44,300","44,800","44,250","500",원(KRW),"70,800,000","3,154,140,000,000",
000990,DB하이텍,"35,400","-450","1.26","35,350","35,300","249,453","8,849,836,850","35,850","35,850","35,200","5,000",원(KRW),"44,398,588","1,571,710,015,200",
000995,DB하이텍1우,"112,000","-2,000","1.75","112,000","111,000","1,770","196,276,000","112,500","112,500","109,000","5,000",원(KRW),"112,316","12,579,392,000",
139130,DGB금융지주,"7,510","-130","1.70","7,520","7,510","365,249","2,760,826,270","7,630","7,640","7,500","5,000",원(KRW),"169,145,833","1,270,285,205,830",
001530,DI동일,"103,500","-2,000","1.90","104,000","103,500","11,002","1,147,529,500","107,500","108,000","102,500","5,000",원(KRW),"2,465,609","255,190,531,500",
004840,DRB동일,"6,670","-40","0.60","6,670","6,650","13,110","87,503,020","6,730","6,730","6,650","500",원(KRW),"19,930,000","132,933,100,000",
155660,DSR,"6,050","-150","2.42","6,050","6,040","94,082","572,743,180","6,200","6,210","6,020","500",원(KRW),"16,000,000","96,800,000,000",
069730,DSR제강,"4,870","-45","0.92","4,870","4,860","174,781","858,182,365","4,950","5,050","4,825","500",원(KRW),"14,400,000","70,128,000,000",
017940,E1,"45,200","-450","0.99","45,250","45,200","10,052","455,458,350","45,650","45,900","45,100","5,000",원(KRW),"6,860,000","310,072,000,000",
007700,F&F,"84,500","-1,000","1.17","84,600","84,500","23,815","2,022,068,700","85,500","85,800","84,100","500",원(KRW),"15,400,000","1,301,300,000,000",
114090,GKL,"17,700","-400","2.21","17,700","17,650","320,507","5,635,338,500","17,700","17,850","17,300","500",원(KRW),"61,855,670","1,094,845,359,000",
078930,GS,"37,850","-550","1.43","37,900","37,850","178,724","6,783,396,950","38,300","38,300","37,700","5,000",원(KRW),"92,915,378","3,516,847,057,300",
006360,GS건설,"37,600","-1,050","2.72","37,650","37,600","454,382","17,179,627,650","38,300","38,400","37,550","5,000",원(KRW),"80,097,804","3,011,677,430,400",
001250,GS글로벌,"2,020","80","4.12","2,025","2,020","1,836,340","3,716,524,005","1,945","2,070","1,935","2,500",원(KRW),"82,533,764","166,718,203,280",
007070,GS리테일,"34,750","-150","0.43","34,750","34,700","238,895","8,342,353,400","34,850","35,250","34,550","1,000",원(KRW),"77,000,000","2,675,750,000,000",
