,일자2,광역시도,확진자,사망자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
2075,2020-09-03,전남,155,0,6,43,112,5,1,8.31
2076,2020-09-03,전북,87,0,0,48,39,0,0,4.79
2077,2020-09-03,충남,353,1,7,217,135,7,0,16.63
2078,2020-09-03,충북,131,1,1,87,43,1,0,8.19
2079,2020-09-03,강원,199,3,4,96,100,4,0,12.92
2080,2020-09-03,경기,3471,42,64,2117,1312,64,0,26.2
2081,2020-09-03,세종,67,0,0,52,15,0,0,19.57
2082,2020-09-03,울산,108,1,8,66,41,7,1,9.42
2083,2020-09-03,대전,282,3,4,180,99,4,0,19.13
2084,2020-09-03,광주,394,2,6,257,135,6,0,27.05
2085,2020-09-03,인천,767,3,16,436,328,15,1,25.95
2086,2020-09-03,대구,7065,191,3,6766,108,2,1,289.97
2087,2020-09-03,부산,315,4,4,219,92,4,0,9.23
2088,2020-09-03,서울,4131,24,69,2111,1996,69,0,42.44
2089,2020-09-03,합계,20644,329,195,15529,4786,188,7,39.82
2090,2020-09-02,검역,1361,0,3,1270,91,0,3,-
2091,2020-09-02,제주,47,0,1,27,20,1,0,7.01
2092,2020-09-02,경남,240,0,1,173,67,0,1,7.14
2093,2020-09-02,경북,1468,54,4,1359,55,3,1,55.14
2094,2020-09-02,전남,149,0,3,43,106,3,0,7.99
2095,2020-09-02,전북,87,0,0,46,41,0,0,4.79
2096,2020-09-02,충남,346,1,7,215,130,7,0,16.3
2097,2020-09-02,충북,130,1,1,85,44,1,0,8.13
2098,2020-09-02,강원,195,3,2,92,100,2,0,12.66
2099,2020-09-02,경기,3407,41,84,2052,1314,79,5,25.71
2100,2020-09-02,세종,67,0,0,52,15,0,0,19.57
2101,2020-09-02,울산,100,1,5,63,36,5,0,8.72
2102,2020-09-02,대전,278,2,14,178,98,14,0,18.86
2103,2020-09-02,광주,388,2,10,244,142,10,0,26.64
2104,2020-09-02,인천,751,3,11,427,321,10,1,25.4
2105,2020-09-02,대구,7062,191,13,6763,108,13,0,289.84
2106,2020-09-02,부산,311,3,7,219,89,7,0,9.12
2107,2020-09-02,서울,4062,24,101,2048,1990,98,3,41.73
2108,2020-09-02,합계,20449,326,267,15356,4767,253,14,39.44
2109,2020-09-01,검역,1358,0,4,1270,88,0,4,-
2110,2020-09-01,제주,46,0,1,26,20,1,0,6.86
2111,2020-09-01,경남,239,0,3,171,68,3,0,7.11
2112,2020-09-01,경북,1464,54,9,1357,53,5,4,54.99
2113,2020-09-01,전남,146,0,4,42,104,4,0,7.83
2114,2020-09-01,전북,87,0,0,41,46,0,0,4.79
2115,2020-09-01,충남,339,1,7,214,124,7,0,15.97
2116,2020-09-01,충북,129,1,1,83,45,1,0,8.07
2117,2020-09-01,강원,193,3,4,88,102,4,0,12.53
2118,2020-09-01,경기,3323,40,63,1990,1293,60,3,25.08
2119,2020-09-01,세종,67,0,0,52,15,0,0,19.57
