,rowID,등록일,구분,확진자,확진률,치명률,사망자,사망률,수정일
207,5149,2020-12-03,여성,18611,52.13,52.13,253,47.83,null
208,5148,2020-12-03,남성,17092,47.87,47.87,276,52.17,null
209,5136,2020-12-02,0-9,1027,2.92,2.92,0,0.00,null
210,5135,2020-12-02,10-19,2140,6.09,6.09,0,0.00,null
211,5134,2020-12-02,20-29,6633,18.86,18.86,0,0.00,null
212,5133,2020-12-02,30-39,4536,12.9,12.9,2,0.38,null
213,5132,2020-12-02,40-49,4939,14.05,14.05,4,0.76,null
214,5131,2020-12-02,50-59,6411,18.23,18.23,24,4.56,null
215,5130,2020-12-02,60-69,5340,15.19,15.19,64,12.17,null
216,5129,2020-12-02,70-79,2672,7.6,7.6,169,32.13,null
217,5128,2020-12-02,80 이상,1465,4.17,4.17,263,50.00,null
218,5127,2020-12-02,여성,18344,52.17,52.17,251,47.72,null
219,5126,2020-12-02,남성,16819,47.83,47.83,275,52.28,null
220,5114,2020-12-01,0-9,1008,2.91,2.91,0,0.00,null
221,5113,2020-12-01,10-19,2097,6.05,6.05,0,0.00,null
222,5112,2020-12-01,20-29,6548,18.9,18.9,0,0.00,null
223,5111,2020-12-01,30-39,4447,12.83,12.83,2,0.38,null
224,5110,2020-12-01,40-49,4860,14.03,14.03,4,0.76,null
225,5109,2020-12-01,50-59,6312,18.22,18.22,24,4.56,null
226,5108,2020-12-01,60-69,5283,15.25,15.25,64,12.17,null
227,5107,2020-12-01,70-79,2649,7.64,7.64,169,32.13,null
228,5106,2020-12-01,80 이상,1448,4.18,4.18,263,50.00,null
229,5105,2020-12-01,여성,18095,52.22,52.22,251,47.72,null
230,5104,2020-12-01,남성,16557,47.78,47.78,275,52.28,null
231,5092,2020-11-30,0-9,993,2.9,2.9,0,0.00,null
232,5091,2020-11-30,10-19,2050,5.99,5.99,0,0.00,null
233,5090,2020-11-30,20-29,6466,18.91,18.91,0,0.00,null
234,5089,2020-11-30,30-39,4381,12.81,12.81,2,0.38,null
235,5088,2020-11-30,40-49,4797,14.03,14.03,4,0.76,null
236,5087,2020-11-30,50-59,6218,18.18,18.18,24,4.56,null
237,5086,2020-11-30,60-69,5240,15.32,15.32,64,12.17,null
238,5085,2020-11-30,70-79,2622,7.67,7.67,169,32.13,null
239,5084,2020-11-30,80 이상,1434,4.19,4.19,263,50.00,null
240,5083,2020-11-30,여성,17878,52.27,52.27,251,47.72,null
241,5082,2020-11-30,남성,16323,47.73,47.73,275,52.28,null
242,5070,2020-11-29,0-9,977,2.89,2.89,0,0.00,null
243,5069,2020-11-29,10-19,1996,5.9,5.9,0,0.00,null
244,5068,2020-11-29,20-29,6412,18.96,18.96,0,0.00,null
245,5067,2020-11-29,30-39,4349,12.86,12.86,2,0.38,null
246,5066,2020-11-29,40-49,4759,14.07,14.07,4,0.76,null
247,5065,2020-11-29,50-59,6142,18.16,18.16,24,4.59,null
248,5064,2020-11-29,60-69,5183,15.32,15.32,63,12.05,null
249,5063,2020-11-29,70-79,2598,7.68,7.68,168,32.12,null
250,5062,2020-11-29,80 이상,1408,4.16,4.16,262,50.10,null
251,5061,2020-11-29,여성,17657,52.2,52.2,249,47.61,null
252,5060,2020-11-29,남성,16167,47.8,47.8,274,52.39,null
253,5048,2020-11-28,0-9,959,2.87,2.87,0,0.00,null
254,5047,2020-11-28,10-19,1959,5.87,5.87,0,0.00,null
255,5046,2020-11-28,20-29,6319,18.93,18.93,0,0.00,null
256,5045,2020-11-28,30-39,4284,12.84,12.84,2,0.38,null
257,5044,2020-11-28,40-49,4690,14.05,14.05,4,0.77,null
258,5043,2020-11-28,50-59,6060,18.16,18.16,24,4.60,null
259,5042,2020-11-28,60-69,5137,15.39,15.39,63,12.07,null
260,5041,2020-11-28,70-79,2572,7.71,7.71,167,31.99,null
261,5040,2020-11-28,80 이상,1395,4.18,4.18,262,50.19,null
262,5039,2020-11-28,여성,17441,52.26,52.26,249,47.70,null
263,5038,2020-11-28,남성,15934,47.74,47.74,273,52.30,null
264,5026,2020-11-27,0-9,946,2.88,2.88,0,0.00,null
265,5025,2020-11-27,10-19,1922,5.84,5.84,0,0.00,null
266,5024,2020-11-27,20-29,6251,19.01,19.01,0,0.00,null
267,5023,2020-11-27,30-39,4212,12.81,12.81,2,0.39,null
268,5022,2020-11-27,40-49,4598,13.98,13.98,4,0.78,null
269,5021,2020-11-27,50-59,5982,18.19,18.19,24,4.65,null
270,5020,2020-11-27,60-69,5055,15.37,15.37,62,12.02,null
271,5019,2020-11-27,70-79,2542,7.73,7.73,167,32.36,null
272,5018,2020-11-27,80 이상,1379,4.19,4.19,257,49.81,null
273,5017,2020-11-27,여성,17199,52.3,52.3,245,47.48,null
274,5016,2020-11-27,남성,15688,47.7,47.7,271,52.52,null
275,5004,2020-11-26,0-9,925,2.86,2.86,0,0.00,null
276,5003,2020-11-26,10-19,1882,5.82,5.82,0,0.00,null
277,5002,2020-11-26,20-29,6165,19.08,19.08,0,0.00,null
278,5001,2020-11-26,30-39,4127,12.77,12.77,2,0.39,null
279,5000,2020-11-26,40-49,4499,13.92,13.92,4,0.78,null
280,4999,2020-11-26,50-59,5865,18.15,18.15,24,4.66,null
281,4998,2020-11-26,60-69,4987,15.43,15.43,62,12.04,null
282,4997,2020-11-26,70-79,2515,7.78,7.78,167,32.43,null
283,4996,2020-11-26,80 이상,1353,4.19,4.19,256,49.71,null
284,4995,2020-11-26,여성,16942,52.42,52.42,244,47.38,null
285,4994,2020-11-26,남성,15376,47.58,47.58,271,52.62,null
286,4982,2020-11-25,0-9,904,2.85,2.85,0,0.00,null
287,4981,2020-11-25,10-19,1825,5.75,5.75,0,0.00,null
288,4980,2020-11-25,20-29,6040,19.03,19.03,0,0.00,null
289,4979,2020-11-25,30-39,4044,12.74,12.74,2,0.39,null
290,4978,2020-11-25,40-49,4406,13.88,13.88,4,0.78,null
291,4977,2020-11-25,50-59,5770,18.18,18.18,24,4.68,null
292,4976,2020-11-25,60-69,4915,15.49,15.49,62,12.09,null
293,4975,2020-11-25,70-79,2487,7.84,7.84,165,32.16,null
294,4974,2020-11-25,80 이상,1344,4.24,4.24,256,49.90,null
295,4973,2020-11-25,여성,16656,52.48,52.48,244,47.56,null
296,4972,2020-11-25,남성,15079,47.52,47.52,269,52.44,null
297,4960,2020-11-24,0-9,893,2.85,2.85,0,0.00,null
298,4959,2020-11-24,10-19,1794,5.72,5.72,0,0.00,null
299,4958,2020-11-24,20-29,5988,19.1,19.1,0,0.00,null
300,4957,2020-11-24,30-39,3983,12.7,12.7,2,0.39,null
301,4956,2020-11-24,40-49,4331,13.81,13.81,4,0.78,null
302,4955,2020-11-24,50-59,5698,18.17,18.17,24,4.71,null
303,4954,2020-11-24,60-69,4869,15.53,15.53,61,11.96,null
304,4953,2020-11-24,70-79,2463,7.86,7.86,163,31.96,null
305,4952,2020-11-24,80 이상,1334,4.25,4.25,256,50.20,null
306,4951,2020-11-24,여성,16480,52.56,52.56,242,47.45,null
307,4950,2020-11-24,남성,14873,47.44,47.44,268,52.55,null
308,4919,2020-11-23,0-9,877,2.83,2.83,0,0.00,null
309,4918,2020-11-23,10-19,1776,5.73,5.73,0,0.00,null
310,4917,2020-11-23,20-29,5921,19.1,19.1,0,0.00,null
311,4916,2020-11-23,30-39,3930,12.68,12.68,2,0.39,null
312,4915,2020-11-23,40-49,4271,13.78,13.78,4,0.79,null
313,4914,2020-11-23,50-59,5638,18.18,18.18,24,4.72,null
314,4913,2020-11-23,60-69,4826,15.57,15.57,61,11.98,null
315,4912,2020-11-23,70-79,2438,7.86,7.86,163,32.02,null
316,4911,2020-11-23,80 이상,1327,4.28,4.28,255,50.10,null
317,4910,2020-11-23,여성,16321,52.64,52.64,242,47.54,null
318,4909,2020-11-23,남성,14683,47.36,47.36,267,52.46,null
319,4897,2020-11-22,0-9,854,2.78,2.78,0,0.00,null
320,4896,2020-11-22,10-19,1755,5.71,5.71,0,0.00,null
321,4895,2020-11-22,20-29,5880,19.13,19.13,0,0.00,null
322,4894,2020-11-22,30-39,3889,12.65,12.65,2,0.40,null
323,4893,2020-11-22,40-49,4222,13.74,13.74,4,0.79,null
324,4892,2020-11-22,50-59,5588,18.18,18.18,23,4.55,null
325,4891,2020-11-22,60-69,4806,15.64,15.64,61,12.08,null
326,4890,2020-11-22,70-79,2421,7.88,7.88,161,31.88,null
327,4889,2020-11-22,80 이상,1318,4.29,4.29,254,50.30,null
328,4888,2020-11-22,여성,16178,52.64,52.64,240,47.52,null
329,4887,2020-11-22,남성,14555,47.36,47.36,265,52.48,null
330,4875,2020-11-21,0-9,837,2.75,2.75,0,0.00,null
331,4874,2020-11-21,10-19,1735,5.71,5.71,0,0.00,null
332,4873,2020-11-21,20-29,5815,19.13,19.13,0,0.00,null
333,4872,2020-11-21,30-39,3842,12.64,12.64,2,0.40,null
334,4871,2020-11-21,40-49,4158,13.68,13.68,4,0.80,null
335,4870,2020-11-21,50-59,5532,18.2,18.2,23,4.57,null
336,4869,2020-11-21,60-69,4774,15.7,15.7,61,12.13,null
337,4868,2020-11-21,70-79,2403,7.9,7.9,160,31.81,null
338,4867,2020-11-21,80 이상,1307,4.3,4.3,253,50.30,null
339,4866,2020-11-21,여성,16021,52.7,52.7,239,47.51,null
340,4865,2020-11-21,남성,14382,47.3,47.3,264,52.49,null
341,4853,2020-11-20,0-9,822,2.74,2.74,0,0.00,null
342,4852,2020-11-20,10-19,1699,5.66,5.66,0,0.00,null
343,4851,2020-11-20,20-29,5707,19.01,19.01,0,0.00,null
344,4850,2020-11-20,30-39,3793,12.64,12.64,2,0.40,null
345,4849,2020-11-20,40-49,4102,13.67,13.67,4,0.80,null
346,4848,2020-11-20,50-59,5476,18.24,18.24,23,4.59,null
347,4847,2020-11-20,60-69,4737,15.78,15.78,60,11.98,null
348,4846,2020-11-20,70-79,2380,7.93,7.93,159,31.74,null
349,4845,2020-11-20,80 이상,1301,4.33,4.33,253,50.50,null
350,4844,2020-11-20,여성,15845,52.79,52.79,238,47.50,null
351,4843,2020-11-20,남성,14172,47.21,47.21,263,52.50,null
352,4831,2020-11-19,0-9,811,2.73,2.73,0,0.00,null
353,4830,2020-11-19,10-19,1664,5.61,5.61,0,0.00,null
354,4829,2020-11-19,20-29,5642,19.03,19.03,0,0.00,null
355,4828,2020-11-19,30-39,3744,12.63,12.63,2,0.40,null
356,4827,2020-11-19,40-49,4043,13.63,13.63,4,0.80,null
357,4826,2020-11-19,50-59,5416,18.26,18.26,23,4.62,null
358,4825,2020-11-19,60-69,4692,15.82,15.82,59,11.85,null
359,4824,2020-11-19,70-79,2352,7.93,7.93,159,31.93,null
360,4823,2020-11-19,80 이상,1290,4.35,4.35,251,50.40,null
361,4822,2020-11-19,여성,15673,52.85,52.85,236,47.39,null
362,4821,2020-11-19,남성,13981,47.15,47.15,262,52.61,null
