,rowID,기준일,누적환진률,누적검사수,누적 검사 완료 수,치료중 환자 수,격리해제 수,사망자 수,확진자 수,검사 진행 수,결과 음성 수 ,수정일
110,250,20200903,1.0613728954,2000552,1945028,4786,15529,329,20644,55524,1924384,null
111,249,20200902,1.0630881387,1980295,1923547,4767,15356,326,20449,56748,1903098,null
112,248,20200901,1.0609056124,1959080,1902337,4660,15198,324,20182,56743,1882155,null
113,247,20200831,1.0611161854,1937689,1879813,4650,14973,324,19947,57876,1859866,null
114,246,20200830,1.0555963109,1924170,1866149,4473,14903,323,19699,58021,1846450,null
115,245,20200829,1.0456625754,1909329,1855283,4314,14765,321,19400,54046,1835883,null
116,244,20200828,1.0384832711,1887717,1837006,4210,14551,316,19077,50711,1817929,null
117,243,20200827,1.0291944377,1869579,1817538,3932,14461,313,18706,52041,1798832,null
118,242,20200826,1.0165797393,1849506,1796711,3585,14368,312,18265,52795,1778446,null
119,241,20200825,1.0107154423,1825837,1775475,3349,14286,310,17945,50362,1757530,null
120,240,20200824,1.0057349380,1804422,1756427,3137,14219,309,17665,47995,1738762,null
121,239,20200823,0.9978653630,1791186,1743622,2890,14200,309,17399,47564,1726223,null
122,238,20200822,0.9808621687,1775800,1733373,2524,14169,309,17002,42427,1716371,null
123,237,20200821,0.9714010668,1754123,1716078,2241,14120,309,16670,38045,1699408,null
124,236,20200820,0.9620472195,1734083,1699085,1976,14063,307,16346,34998,1682739,null
125,235,20200819,0.9535391635,1715064,1684042,1746,14006,306,16058,31022,1667984,null
126,234,20200818,0.9427433406,1697042,1671823,1521,13934,306,15761,25219,1656062,null
127,233,20200817,0.9315487305,1688470,1665506,1293,13917,305,15515,22964,1649991,null
128,232,20200816,0.9228922834,1681787,1659782,1103,13910,305,15318,22005,1644464,null
129,231,20200815,0.9094273492,1675296,1653678,833,13901,305,15039,21618,1638639,null
130,230,20200814,0.9041601213,1665084,1644952,705,13863,305,14873,20132,1630079,null
131,229,20200813,0.9022051188,1654898,1637100,648,13817,305,14770,17798,1622330,null
132,228,20200812,0.9030999639,1646652,1629277,623,13786,305,14714,17375,1614563,null
133,227,20200811,0.9047400106,1637844,1620355,626,13729,305,14660,17489,1605695,null
134,226,20200810,0.9073724476,1628303,1611907,663,13658,305,14626,16396,1597281,null
135,225,20200809,0.9079222090,1624650,1607847,651,13642,305,14598,16803,1593249,null
136,224,20200808,0.9076239288,1620514,1604409,629,13629,304,14562,16105,1589847,null
137,223,20200807,0.9093790242,1613652,1596584,673,13543,303,14519,17068,1582065,null
138,222,20200806,0.9127731583,1606487,1588456,696,13501,302,14499,18031,1573957,null
139,221,20200805,0.9151122018,1598187,1579697,748,13406,302,14456,18490,1565241,null
140,220,20200804,0.9180449328,1589780,1571056,770,13352,301,14423,18724,1556633,null
141,219,20200803,0.9209808775,1579757,1562356,808,13280,301,14389,17401,1547967,null
142,218,20200802,0.9217967786,1576246,1558478,806,13259,301,14366,17768,1544112,null
143,217,20200801,0.9227885516,1571830,1553552,802,13233,301,14336,18278,1539216,null
144,216,20200731,0.9256107866,1563796,1545466,821,13183,301,14305,18330,1531161,null
145,215,20200730,0.9282479734,1556215,1537197,837,13132,300,14269,19018,1522928,2020-07-30 11:14:10.775
146,214,20200729,0.9326686653,1547307,1527981,882,13069,300,14251,19326,1513730,null
147,213,20200728,0.9360953297,1537704,1517260,896,13007,300,14203,20444,1503057,null
148,212,20200727,0.9398595945,1526974,1508204,971,12905,299,14175,18770,1494029,null
149,211,20200726,0.9410046604,1522926,1503712,962,12890,298,14150,19214,1489562,null
150,210,20200725,0.9401228724,1518634,1498953,928,12866,298,14092,19681,1484861,null
151,209,20200724,0.9383340224,1510327,1489768,864,12817,298,13979,20559,1475789,null
152,208,20200723,0.9421157792,1500854,1479436,883,12758,297,13938,21418,1465498,null
153,207,20200722,0.9439441754,1492071,1470320,884,12698,297,13879,21751,1456441,null
154,206,20200721,0.9472577108,1482390,1458526,877,12643,296,13816,23864,1444710,null
155,205,20200720,0.9504510691,1470193,1448891,903,12572,296,13771,21302,1435120,null
156,204,20200719,0.9523011114,1465299,1443346,894,12556,295,13745,21953,1429601,null
157,203,20200718,0.9539540284,1460204,1437281,898,12519,294,13711,22923,1423570,null
158,202,20200717,0.9574853264,1451017,1427907,919,12460,293,13672,23110,1414235,null
159,201,20200716,0.9599814943,1441348,1417944,925,12396,291,13612,23404,1404332,null
160,200,20200715,0.9624159901,1431316,1408019,914,12348,289,13551,23297,1394468,null
161,199,20200714,0.9676816390,1420616,1396327,941,12282,289,13512,24289,1382815,null
162,198,20200713,0.9721832542,1408312,1386467,986,12204,289,13479,21845,1372988,null
163,197,20200712,0.9720252058,1402144,1380314,950,12178,289,13417,21830,1366897,null
164,196,20200711,0.9732960405,1396941,1373991,941,12144,288,13373,22950,1360618,null
165,195,20200710,0.9797533795,1384890,1361363,985,12065,288,13338,23527,1348025,null
166,194,20200709,0.9862307555,1371771,1347859,987,12019,287,13293,23912,1334566,null
167,193,20200708,0.9914488194,1359734,1335722,989,11970,285,13244,24012,1322479,null
168,192,20200707,0.9966586491,1346194,1322519,982,11914,285,13181,23675,1309338,null
169,191,20200706,1.0024387563,1331796,1310504,1005,11848,284,13137,21292,1297367,null
170,190,20200705,1.0034452463,1326055,1304406,976,11832,283,13091,21649,1291317,null
171,189,20200704,1.0043169904,1319521,1297200,936,11811,283,13030,22321,1284172,null
172,188,20200703,1.0080073021,1307761,1286201,926,11759,282,12967,21560,1273234,null
173,187,20200702,1.0111426287,1295962,1276180,938,11684,282,12904,19782,1263276,null
174,186,20200701,1.0152444684,1285231,1265705,955,11613,282,12850,19526,1252855,null
175,185,20200630,1.0215043465,1273765,1252956,981,11537,282,12800,20809,1240157,null
176,184,20200629,1.0275845681,1259954,1241455,1046,11429,282,12757,18499,1228698,2020-06-29 11:00:25.815
177,183,20200628,1.0314839902,1251695,1232690,1069,11364,282,12715,19005,1219975,null
178,182,20200627,1.0338144673,1243780,1223914,1054,11317,282,12653,19866,1211261,null
179,181,20200626,1.0384948499,1232315,1213487,1148,11172,282,12602,18828,1200885,null
180,180,20200625,1.0455417792,1220478,1201578,1307,10974,282,12563,18900,1189015,null
181,179,20200624,1.0548221402,1208597,1188352,1324,10930,281,12535,20245,1175817,null
182,178,20200623,1.0636140726,1196012,1173734,1295,10908,281,12484,22278,1161250,null
183,177,20200622,1.0697854838,1182066,1162663,1277,10881,280,12438,19403,1150225,null
184,176,20200621,1.0741167355,1176463,1156392,1273,10868,280,12421,20071,1143971,null
185,175,20200620,1.0764456500,1170901,1149431,1237,10856,280,12373,21470,1137058,null
