,ID,커피빈,스타벅스,이디야,빽다방,커피지수,y,x
226,서천,0,1,2,0,0.5,15,2
227,서산,0,4,6,1,1.6666666666666665,13,1
228,홍성,0,0,4,2,2.0,12,2
229,보령,0,2,1,1,3.0,13,2
230,천안 서북,0,12,14,6,6.857142857142857,11,3
231,예산,0,1,7,0,0.14285714285714285,12,3
232,계룡,0,1,1,0,1.0,14,4
233,청양,0,1,0,0,0.0,13,3
234,논산,0,1,2,0,0.5,14,3
235,부여,0,0,2,0,0.0,14,2
236,충주,0,6,6,1,2.0,12,6
237,제천,2,1,5,0,0.6,10,7
238,청주 상당,1,5,9,2,2.6666666666666665,14,6
239,청주 흥덕,1,10,14,4,4.785714285714286,12,7
240,청주 서원,0,4,6,3,3.6666666666666665,14,7
241,음성,1,2,3,0,1.0,11,5
242,청주 청원,0,3,8,1,1.375,13,7
243,괴산,0,0,2,0,0.0,12,8
244,영동,0,0,2,0,0.0,15,7
245,진천,0,1,4,0,0.25,12,5
246,단양,0,0,1,0,0.0,11,7
247,옥천,0,0,1,0,0.0,15,6
248,보은,0,1,2,0,0.5,13,8
249,증평,0,1,3,0,0.3333333333333333,13,6
